Brand Name,Smartphone Name,Color,RAM,ROM,Primary Camera,Secondary Camera,Display Size,Battery Capacity,Price,URL
Google,Pixel 4a,Just Black,6 GB,128 GB,12.2MP Rear Camera,8MP Front Camera,14.76 cm (5.81 inch),3140 mAh,"₹31,999",https://www.flipkart.com/google-pixel-4a-just-black-128-gb/p/itm023b9677aa45d?pid=MOBFUSBNAZGY7HQU&lid=LSTMOBFUSBNAZGY7HQUWHTF0C&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=229507f5-017f-4a45-bf8b-0bc17b195736.MOBFUSBNAZGY7HQU.SEARCH&ppt=pp&ppn=pp&ssid=r1t294fa8g0000001671995136376&qH=9b26a23b2cff510d
realme,10 Pro 5G,Dark Matter,6 GB,128 GB,108MP + 2MP,16MP Front Camera,17.07 cm (6.72 inch),"AAC, APE, FLAC, AMR, MID, MP3, OGG, WAV, WMA, MKA","₹18,999",https://www.flipkart.com/realme-10-pro-5g-dark-matter-128-gb/p/itm1e672d12a252e?pid=MOBGK8VHWBRKYFJD&lid=LSTMOBGK8VHWBRKYFJDTEBOFU&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=229507f5-017f-4a45-bf8b-0bc17b195736.MOBGK8VHWBRKYFJD.SEARCH&ppt=pp&ppn=pp&ssid=r1t294fa8g0000001671995136376&qH=9b26a23b2cff510d
realme,10 Pro 5G,Nebula Blue,8 GB,128 GB,108MP + 2MP,16MP Front Camera,17.07 cm (6.72 inch),"AAC, APE, FLAC, AMR, MID, MP3, OGG, WAV, WMA, MKA","₹19,999",https://www.flipkart.com/realme-10-pro-5g-nebula-blue-128-gb/p/itm1e672d12a252e?pid=MOBGK8VHHFY5VCAY&lid=LSTMOBGK8VHHFY5VCAYOXEXVI&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=229507f5-017f-4a45-bf8b-0bc17b195736.MOBGK8VHHFY5VCAY.SEARCH&ppt=pp&ppn=pp&ssid=r1t294fa8g0000001671995136376&qH=9b26a23b2cff510d
realme,10 Pro 5G,Hyperspace,8 GB,128 GB,108MP + 2MP,16MP Front Camera,17.07 cm (6.72 inch),"AAC, APE, FLAC, AMR, MID, MP3, OGG, WAV, WMA, MKA","₹19,999",https://www.flipkart.com/realme-10-pro-5g-hyperspace-128-gb/p/itm1e672d12a252e?pid=MOBGK8VHZPVGJCES&lid=LSTMOBGK8VHZPVGJCES9YRIWN&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=229507f5-017f-4a45-bf8b-0bc17b195736.MOBGK8VHZPVGJCES.SEARCH&ppt=pp&ppn=pp&ssid=r1t294fa8g0000001671995136376&qH=9b26a23b2cff510d
vivo,T1 44W,Starry Sky,4 GB,128 GB,50MP + 2MP + 2MP,16MP Front Camera,16.36 cm (6.44 inch),Yes,"₹14,499",https://www.flipkart.com/vivo-t1-44w-starry-sky-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVHNBBBBP5&lid=LSTMOBGDRHVHNBBBBP5SY2MJL&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=229507f5-017f-4a45-bf8b-0bc17b195736.MOBGDRHVHNBBBBP5.SEARCH&ppt=pp&ppn=pp&ssid=r1t294fa8g0000001671995136376&qH=9b26a23b2cff510d
vivo,T1 44W,Midnight Galaxy,4 GB,128 GB,50MP + 2MP + 2MP,16MP Front Camera,16.36 cm (6.44 inch),Yes,"₹14,499",https://www.flipkart.com/vivo-t1-44w-midnight-galaxy-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVZN29ZJF4&lid=LSTMOBGDRHVZN29ZJF4WEHAX7&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=229507f5-017f-4a45-bf8b-0bc17b195736.MOBGDRHVZN29ZJF4.SEARCH&ppt=pp&ppn=pp&ssid=r1t294fa8g0000001671995136376&qH=9b26a23b2cff510d
realme,C30,Bamboo Green,2 GB,32 GB,8MP Rear Camera,5MP Front Camera,16.51 cm (6.5 inch),"ACC, AMR, FLAC, M4A, MID, MP2, MP3, OGG","₹5,799",https://www.flipkart.com/realme-c30-bamboo-green-32-gb/p/itmfcf69b2db5059?pid=MOBGF37G7FRK8FBJ&lid=LSTMOBGF37G7FRK8FBJLNLFYW&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&spotlightTagId=BestvalueId_tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=Search&iid=229507f5-017f-4a45-bf8b-0bc17b195736.MOBGF37G7FRK8FBJ.SEARCH&ppt=sp&ppn=sp&ssid=r1t294fa8g0000001671995136376&qH=9b26a23b2cff510d
realme,C30,Denim Black,2 GB,32 GB,8MP Rear Camera,5MP Front Camera,16.51 cm (6.5 inch),"ACC, AMR, FLAC, M4A, MID, MP2, MP3, OGG","₹5,799",https://www.flipkart.com/realme-c30-denim-black-32-gb/p/itmfcf69b2db5059?pid=MOBGF37G8TGKHFWJ&lid=LSTMOBGF37G8TGKHFWJIST95C&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=229507f5-017f-4a45-bf8b-0bc17b195736.MOBGF37G8TGKHFWJ.SEARCH&ppt=pp&ppn=pp&ssid=r1t294fa8g0000001671995136376&qH=9b26a23b2cff510d
realme,C30,Lake Blue,2 GB,32 GB,8MP Rear Camera,5MP Front Camera,16.51 cm (6.5 inch),"ACC, AMR, FLAC, M4A, MID, MP2, MP3, OGG","₹5,799",https://www.flipkart.com/realme-c30-lake-blue-32-gb/p/itmfcf69b2db5059?pid=MOBGF37GTRVMRJVK&lid=LSTMOBGF37GTRVMRJVKRYAJNG&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=229507f5-017f-4a45-bf8b-0bc17b195736.MOBGF37GTRVMRJVK.SEARCH&ppt=pp&ppn=pp&ssid=r1t294fa8g0000001671995136376&qH=9b26a23b2cff510d
vivo,T1 44W,Midnight Galaxy,6 GB,128 GB,50MP + 2MP + 2MP,16MP Front Camera,16.36 cm (6.44 inch),Yes,"₹15,999",https://www.flipkart.com/vivo-t1-44w-midnight-galaxy-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVXFVCGS23&lid=LSTMOBGDRHVXFVCGS23BNMEFR&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=229507f5-017f-4a45-bf8b-0bc17b195736.MOBGDRHVXFVCGS23.SEARCH&ppt=pp&ppn=pp&ssid=r1t294fa8g0000001671995136376&qH=9b26a23b2cff510d
