Comment,Comment Upvote,Time
आज पहली बार सुना आंख से आसू आगये।।।।  जय सियाराम,,3 weeks ago
"यह भजन सुनकर मन शांत हो जाता है, जय सियाराम ",814,2 weeks ago
"Im from Bangladesh 🇧🇩
and i belong to hindu family..
Watch this video every day..
jey shree ram",,2 weeks ago
"I'm Hindu 
I God love 
Joy shree ram ",343,9 days ago
"I AM PROUD TO BE A
HINDU️
JAI SIYA RAM ️",,3 weeks ago (edited)
Sukoon= Ram Siya Ram ,389,9 days ago
गीता से ज्ञान मिला !!  रामायण से राम मिले !! भाग्य से हिंदू धर्म मिला !! किस्मत से हिंदुस्तान मिला !!   जय सियाराम.️,,1 year ago (edited)
He deserves more than 1b+ views  bolo Jay shri ram ️,8,3 weeks ago (edited)
"""Mangal bhavan,amangal hari""-This line gives goosebumps ",,2 weeks ago
"Feeling so blessed and peaceful after listening this bhajan.Truly shows the amazing life value!Jai siyaram!मन को बहुत ही शांती मिलती हैं! सत्य, प्रेम, करूणा! निस्वार्थ भाव से खुशियां बांटों!",622,5 days ago
I am proud to be Hindu Jai Siya Ram and this song  is amazing,,2 weeks ago
"️Dil ke bitar se awaj aaa rahi hain sirf .
Siyaram siyaram ️️️",7,8 days ago
"कमेंट करके जा रहा हु , जब जब लाइक आएगा फिर सुनने आऊंगा चाहे उम्र के किसी भी पड़ाव पर रहूँगा",,1 year ago
भजन सुन के  मन और आत्मा को शांति  मिलती है        ,19K,3 weeks ago
Proud to be Hindu ️️,,3 weeks ago
Lyrics by shabbir Ahmed ,407,6 days ago
"Aaj 1st time suna bhut hi jyada a6aa lga Dil ️ m utr gya ye song
Story line best 
Song super se bhi uper ️Jay shree ram ",,2 weeks ago
Daily morning start with this song ️,272,7 days ago
मैं अयोध्या वासी आप सभी रामभक्तों को प्रणाम करता हूँ जय श्री राम,,1 year ago
"में तो हर रोज सुनता हूं मन को शांति मिलती है
जय श्री राम ",3,2 weeks ago
PROUD TO BE INDIAN 🇮🇳PROUD TO BE ️HINDU,,2 weeks ago
"Jai shree ram 
Jai hanuman ji ",92,7 days ago
I am very greatful to almighty god that I born in INDIA and to be the proud of being HINDU. JAI SRI RAM,,2 weeks ago
Sunkar aankho mein aansu aa jaatein hain ️️,3,8 days ago
"It makes me calm
Love this song",,3 weeks ago
গানটার প্রতি কি যে বলবো ভাষা হারিয়ে ফেলেছি। শুধু গানটা পুরো হৃদয়টাকে কেমন যেনো কাতর করে দিলো krshina I love ️ I am always for love you ️,9.6K,2 weeks ago
Magic words jai shree ram,,8 days ago
Gita se gyan mila !! Ramayan se mila Ram !! Bhagya se hindu dharm mila !! Kismat se hindustan !! Bolo Jai Sri Ram ️,199,3 weeks ago (edited)
@Thankfull from heart ️ Shabbir Ahmed for such a beautiful lyrics ,,5 days ago
Ram is not a word It's a Feeling and a Emotion Jay Shree Ram,52,1 year ago
"I AM PROUD TO BE A 

HINDU

JAI SHREE RAM ",,3 weeks ago
Goosebumps ,4,6 days ago
Jai Shree Ram ,,9 days ago
"Jai shree ram 
Jai hanuman ji ",49,6 days ago
আমি গর্বিত আমি হিন্দু    রাম রাম ,,11 days ago
"Heart touching song... 
Jai Shree Ram... ",3,8 days ago
I love this song ,,7 days ago
"Jai Shri Ram 
Jai Hanuman ji ki ",1.6K,5 days ago
Man ko shanti milti hai jai shree Ram,,8 days ago
Jay shree ram ,44,6 days ago
"यह जानकर खुशी हुई कि इस कलयुग में भी लोग प्रभु श्री राम के भक्त हैं, श्री राम आपके जीवन में हमेशा खुशी बनाए ! जय श्री राम जय श्री हनुमान",,1 year ago
मै इस भजन को उस समय से सुन रहा हूँ जब इस भजन के व्यूस 21 मिलियन पर आकर रुके हुए थे। ओर आज मै इस उमीद से सुन रहा हूँ की जल्द ही 100 मिलियन भी पार करेगा ये सुन्दर भजन।.... जय श्री राम ।,37,5 days ago
I love this song ,,8 days ago
Jai Siya Ram ️,2,5 days ago
"Great picturization love from Telangana/Andhrapradesh 
Jai shree ram 🇮🇳",,9 days ago
Jay shree Ram ️️️,41,5 days ago
I am born in a sikh ️ family. Before 3 months ago me & my mom were diagnosed with Covid and my oxygen level was critical. My friend kept this song’s link on his whatsapp & I use to listen it daily. Today I am only alive by the grace of Lord Ram. I was spiritually healed by eternal energy of Lord Rama despite of having very few chances of being alive.,,1 year ago
It's not a song this is our emotions jai shree ram ,1,6 days ago
"️Ram is not a word It's a feeling            and an emotions️
️जय सियाराम ️️",,7 days ago
Jai shree Ram ,72,7 days ago
Thank you for this song I fell endless sprituality️️️️,,9 days ago
Jai shree Ram  sabhi hindu bhaiyo ko humari taraf se jai shree Ram ji  and proud to be Hindu jai shree Ram ,31,5 days ago
"রাম সিয়া রাম নামটা শুনে প্রাণ টা শীতল হয়ে যায়। আমি গর্বিত যে আমি হিন্দু 
Love from Bangladesh ️",,8 months ago (edited)
इस संगीत को सुन में श्री राम जी के समक्ष उनके चरणों मे आ पहुचा। ,1,9 days ago
I love this song,,8 days ago
I LOVE THIS SONG BEFOR RELEASE,165,6 days ago
I LOVE THIS SONG,,5 days ago
I proud i am hindu.. From Bangladesh.. Jai geta.  Jai sree ram....🇧🇩🇧🇩🇧🇩🇧🇩🇧🇩️️️️,1,6 months ago
"Bahut hi khubsurat lyrics hai.... 
Aur bahut hi khubsurati se gaaya gaya hai... ",,8 days ago
JAI SHREE RAM ️ JAI SIYA RAM BHAKT HANUMAN JI ️,3.5K,7 days ago
"Proud Hindu 
Jay sree ram ",,6 days ago
Very peaceful song ,99,5 days ago
Jay shree Ram ️️,,8 days ago
I am proud I am Hindu  ️ ️    ,1,12 days ago
जय श्री राम बहुत सुंदर भजन ️️,,7 days ago
Jai siyaram ️,2,6 days ago
Doston song ki starting ki line jo hai  doston sach mein dil ko chhu jaati hai  aur ram ji ka naam hi kafi hai  dil ko sukun  pahunchane ke liye ,,6 days ago
Wow ️️️,2,8 days ago
शब्बीर अहमद साहब राम भक्तों के लिए आपने बड़ा अद्भुत राम भजन लिखा है आपको दिल से धन्यवाद,,1 year ago
Lyrics by Shabbir Ahmed Suberb ,93,7 days ago
"im badly crying by hearing ""अंजनी पुत्र पड़े हैं चरण में,
राम सिया जपते तन मन में ।"" 

Jai Shree Ram",,12 days ago
"Jai Shree Ram Ji 
Jai Jai Bajrangbali Ji ",10,8 days ago
"Tears rolled down whenever listen this song , jai shri ram",,2 weeks ago
Jai Shree Ram ️,1,7 days ago
"I proud to be a hindu ️ 
Jai Siya Ram ",,1 year ago (edited)
Thanku sachet bhaiya itna pyara Bhajan dene k liye mn ek dm shant ho jata h main pure din sunti hu jai shree ram ,2,11 days ago
गीता से ज्ञान मिला !!  रामायण से राम मिले !! भाग्य से हिंदू धर्म मिला !! किस्मत से हिंदुस्तान मिला !!   जय सियाराम.️,,6 months ago
अत्यंत भक्तिमय भजन बनाया है इस भजन को सुनकर शांति और सुकून मिलता है  जय श्री राम...,1,6 days ago
"Jai shree ram 
Jai hanuman ji ",,7 days ago
I love this song,2,8 days ago
Kitna sukoon milta hai jitne baar suno utna kam ha ,,3 weeks ago
"Nice song
 जय श्री राम ",3.8K,8 days ago
JAI SHREE RAM ️ JAI SIYA RAM BHAKT HANUMAN JI ️,,3 weeks ago
"JAI SHREE RAM ️ 
JAI SREE KRISHNA ️
OM NAMA SHIVAY ",3,5 days ago
Shri Ram bhagwan ji ki jai  sunke to dil ko kuch Aram Mila he ,,3 months ago
"Itni Shanti kabhi nahi mili
Bolo Jai Shree Ram ",1,13 days ago (edited)
JAI SHREE RAM ️ JAI SIYA RAM BHAKT HANUMAN JI ️,,2 weeks ago
JAI SIYARAM ️️️,1,6 days ago
JAI SHREE RAM ️ JAI SIYA RAM BHAKT HANUMAN JI ️,,12 days ago
️ Sita Ram ️,11,9 days ago
"Love from USA 🇺🇸 
We love indians hindus lot, we owe to India hindus a lot ",,6 months ago
JAI SHREE RAM ️ JAI SIYA RAM BHAKT HANUMAN JI ️,1,2 weeks ago
JAI SHREE RAM ️ JAI SIYA RAM BHAKT HANUMAN JI ️,,11 days ago
Jay shree ram ,4.9K,8 days ago
"Thank you for this song ️  I listen to many  songs that give peace to an insect, but I get real peace only by chanting the name of God  Ram Shiya ,Ram Shiya Ram Jai Jai Ram ",,11 days ago
जय श्री राम ,4,7 days ago
सुकून का दुसरा नाम ... जय श्री राम ,,3 weeks ago
JAI SHREE RAM ️ JAI SIYA RAM BHAKT HANUMAN JI ️,34,3 weeks ago
Lyrics written by Shabbir ahmed hats off to him,,2 weeks ago
Jai Shree Ram ji ,3,5 days ago
बहुत सुंदर भजन ह ️️,,5 days ago
a very lovely bhajan ,4,8 days ago
sukun milta hai.... feel like another universe,,6 days ago
इस भक्तिमय गाने में क्या बात है की मैं इस गाने को अपने office जाने के समय रास्ते मे हमेशा सुनता हूं। Thanku T-series जय श्री राम,1,9 days ago
Jai Shri gorrisankar ji ️️️️,,5 days ago
Beautiful,1.2K,18 hours ago
Veri nice song  jai shiya ram,,9 days ago
"आज के समय में युवा पीढ़ी को अपनी जड़ो और संस्कृति से जोड़ता हुआ बहुत ही सुंदर और मधुर भजन ने मंत्र-मुग्ध कर दिया  

राम सियाराम... सियाराम जय जय राम ",11,1 year ago
️ Jai Shree Ram ️,,7 days ago
Jay shree Ram ,1,9 days ago
माशाअल्लाह बहुत अच्छा यह भक्ति सॉन्ग  लगता है हमें🇮🇳🇮🇳🇮🇳jai hind,,3 months ago
Jai shree Ram️️,1,9 days ago
proud to be sanatan ,,2 weeks ago
Jai shree Ram ji ,,6 days ago
"दिल को सुकून मिला इतने सुंदर शब्द "" राम सिया राम "" और इतनी मधुर आवाज़ ",,1 year ago
This song gives me chills,281,2 weeks ago
JAI SHREE RAM ️ JAI SIYA RAM BHAKT HANUMAN JI ️,,2 weeks ago
जय श्रीराम ️,,8 days ago
a master piece,,2 weeks ago
RAKSHA KARNA PRABHU ️,1,8 days ago
"Such a beautiful song! I have been sleeping to it for last 2 3 days and it really helps. Many a times my eyes get watery listening and feeling this song.
PS - While trying to sleep, I play this song on loop on spotify and add a sleep timer, I came to youtube just to leave this comments.",,1 month ago
"I'm proud to be Hindu , bhagwan Ram ki jai..... ",1,11 months ago
This mind healing song energizes me for the entire dayJay Siya Ram,,2 weeks ago
It gives me goosebumps...what a beautiful song ,1,3 weeks ago
I love this song ,,2 weeks ago
Jay Shree ram ️️,,2 days ago
sign of true love = RAM SETU no taj mahal,,1 year ago
Such  a beautiful msg to the society & beautiful song️,82,2 weeks ago
Amazing voice ️ It feels so peaceful while listening this song  Jai Shree ram ,,11 days ago
Jay shree ram ,,5 days ago
मैं रोज सुनता हु सुनकर शांति मिलती है मन को ️️जय श्री राम ️,,12 days ago
